[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/manual/manual.pdf HTTP/1.1 [status]: 304 [response-time]: 0.705 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/send_analytics/get_plan_status HTTP/1.1 [status]: 200 [response-time]: 0.321 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/get_plan_status HTTP/1.1 [status]: 304 [response-time]: 7.189 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/get_plan_status HTTP/1.1 [status]: 304 [response-time]: 4.346 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 0.341 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 106.029 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/send_analytics/get_plan_status HTTP/1.1 [status]: 200 [response-time]: 0.619 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/get_plan_status HTTP/1.1 [status]: 304 [response-time]: 4.265 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/manual/manual.pdf HTTP/1.1 [status]: 304 [response-time]: 0.493 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/send_analytics/get_plan_status HTTP/1.1 [status]: 200 [response-time]: 0.245 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 0.350 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/get_user HTTP/1.1 [status]: 200 [response-time]: 4.652 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
[14: 48: 04] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/send_analytics/get_plan_status HTTP/1.1 [status]: 304 [response-time]: 7.611 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.95
