[04: 39: 00] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/farmer/user_update_farmer HTTP/1.1 [status]: 200 [response-time]: 16.954 ms [client]: PostmanRuntime/7.3.0
[04: 39: 00] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 1.027 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[04: 39: 00] [ip]: ::ffff:192.168.0.129 - [method]: GET [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 304 [response-time]: 43.510 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[04: 39: 00] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/member/user_get_member HTTP/1.1 [status]: 200 [response-time]: 0.233 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[04: 39: 00] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/manufacture/user_get_plant_type HTTP/1.1 [status]: 200 [response-time]: 0.286 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[04: 39: 00] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/member/user_get_member HTTP/1.1 [status]: 200 [response-time]: 36.686 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[04: 39: 00] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/manufacture/user_get_plant_type HTTP/1.1 [status]: 200 [response-time]: 8.173 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[04: 39: 00] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 0.619 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[04: 39: 00] [ip]: ::ffff:192.168.0.129 - [method]: GET [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 304 [response-time]: 53.770 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[04: 39: 00] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/member/user_get_member HTTP/1.1 [status]: 200 [response-time]: 0.640 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
