[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 0.746 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 47.823 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 0.428 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 20.991 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_deliver HTTP/1.1 [status]: 200 [response-time]: 0.274 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_chart_deliver HTTP/1.1 [status]: 200 [response-time]: 69.883 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.262 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 36.871 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 0.662 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 33.816 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 0.281 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 27.887 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 21.803 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 0.520 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 26.489 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 28.198 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 0.379 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 27.162 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: POST [url]: /api/v1/graph/get_chart_frequency HTTP/1.1 [status]: 200 [response-time]: 28.228 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.184 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 404 [response-time]: 3.293 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.186 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 35.448 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_deliver HTTP/1.1 [status]: 200 [response-time]: 0.186 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_chart_deliver HTTP/1.1 [status]: 304 [response-time]: 69.284 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.195 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 36.614 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.420 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 22.626 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.222 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 39.170 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[08: 07: 03] [ip]: ::ffff:192.168.88.84 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 0.574 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
