[05: 19: 45] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 0.854 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 19: 45] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 0.809 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 19: 45] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 2.206 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 20: 05] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 6.363 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 20: 49] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 6.712 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 24: 35] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 8.511 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 26: 06] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 6.536 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 26: 06] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 3.157 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 26: 06] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 0.859 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[05: 30: 40] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 7.812 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
