[11: 36: 14] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 4009.248 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[16: 46: 18] [ip]: ::ffff:192.168.137.1 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 7.865 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[16: 46: 18] [ip]: ::ffff:192.168.137.1 - [method]: GET [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 245.887 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[16: 46: 18] [ip]: ::ffff:192.168.137.253 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 0.920 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[16: 46: 18] [ip]: ::ffff:192.168.137.253 - [method]: GET [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 112.115 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[16: 46: 34] [ip]: ::ffff:192.168.137.1 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 10.091 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[16: 46: 34] [ip]: ::ffff:192.168.137.1 - [method]: GET [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 304 [response-time]: 91.941 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[16: 46: 34] [ip]: ::ffff:192.168.137.253 - [method]: OPTIONS [url]: /api/v1/manufacture/update_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 2.171 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[16: 46: 34] [ip]: ::ffff:192.168.137.253 - [method]: POST [url]: /api/v1/manufacture/update_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 1.109 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[16: 46: 34] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/update_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 1.269 ms [client]: PostmanRuntime/7.3.0
[16: 46: 34] [ip]: ::ffff:192.168.137.1 - [method]: OPTIONS [url]: /api/v1/farmer/user_add_farmer HTTP/1.1 [status]: 200 [response-time]: 1.178 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
