[08: 26: 45] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 200 [response-time]: 14.219 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 27: 37] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 200 [response-time]: 96.975 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 27: 37] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_update_product_plan HTTP/1.1 [status]: 200 [response-time]: 11.433 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 32: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/researcher_delete_product_plan HTTP/1.1 [status]: 200 [response-time]: 66.958 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 57: 49] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 404 [response-time]: 1.884 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[08: 58: 37] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 17.597 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 02: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 19.684 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 02: 26] [ip]: ::ffff:192.168.0.130 - [method]: OPTIONS [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 200 [response-time]: 3.348 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 02: 26] [ip]: ::ffff:192.168.0.130 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 200 [response-time]: 64.643 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: OPTIONS [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 200 [response-time]: 3.624 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 304 [response-time]: 43.874 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 304 [response-time]: 33.010 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: OPTIONS [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 200 [response-time]: 0.956 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
